-1,8
4,8
-1,2
1,B
-1,5
7,5
7,C
-1,9
-1,0
0,3
2,B
-1,6
3,C
-1,5
0,5
1,0
-1,7
3,4
8,B
-1,5
3,0
-1,9
4,6
7,2
3,2
6,B
3,2
9,9
7,6
4,3
1,6
-1,6
7,B
2,B
3,B
4,B
2,8
4,B
-1,5
-1,7
-1,8
5,B
2,3
1,4
1,6
3,1
5,0
4,4
0,8
4,5
3,7
-1,8
-1,0
-1,1
6,2
9,C
4,5
0,5
-1,7
8,0
6,0
-1,0
6,8
-1,0
0,C
8,8
-1,1
4,C
0,B
2,C
-1,9
9,9
3,6
-1,4
6,4
-1,2
8,5
8,1
9,C
-1,7
4,1
9,3
6,2
0,B
5,4
0,9
6,4
4,8
-1,2
8,4
1,C
-1,8
-1,4
2,C
9,B
6,2
9,0
7,B
4,0
9,9
3,B
8,8
6,2
5,6
0,4
7,2
8,0
3,0
-1,8
-1,7
2,1
7,9
1,9
1,B
-1,9
9,5
8,1
-1,7
9,7
4,C
5,8
2,B
7,7
2,9
-1,3
-1,9
9,6
7,3
6,4
6,C
3,9
8,1
3,9
-1,5
2,7
0,6
-1,7
-1,7
1,0
6,4
3,0
1,0
3,C
1,8
-1,7
1,5
1,5
0,4
-1,6
4,C
2,2
6,7
9,9
8,9
-1,2
3,5
8,4
-1,8
-1,6
-1,4
2,5
4,6
-1,1
-1,4
9,9
7,6
9,B
4,7
5,B
-1,7
7,9
-1,6
-1,3
5,7
7,C
0,7
5,7
4,7
9,B
-1,7
3,4
4,0
9,C
2,0
3,1
-1,8
2,B
9,5
5,B
6,0
5,5
5,1
8,C
-1,3
-1,7
7,3
1,C
0,B
9,7
6,4
7,6
4,7
2,6
2,4
2,0
1,7
6,4
9,C
9,4
9,C
3,2
6,4
9,8
-1,1
-1,3
6,7
5,7
0,9
5,5
7,8
9,9
-1,4
1,6
7,9
2,9
5,2
0,6
6,5
-1,9
9,0
-1,8
2,B
4,B
5,9
-1,6
-1,2
1,1
7,C
7,2
-1,8
-1,5
-1,6
0,9
6,B
-1,1
2,9
1,C
2,9
0,C
7,1
1,B
1,7
6,0
9,7
2,B
8,7
5,2
3,B
8,6
2,B
6,2
0,8
3,4
8,3
-1,1
0,6
9,5
4,2
8,B
6,B
2,9
4,6
-1,7
8,0
3,7
-1,7
3,3
-1,5
1,8
3,3
-1,1
-1,9
4,2
0,C
3,7
0,8
-1,0
1,8
-1,7
8,2
6,9
-1,8
4,B
8,9
3,C
-1,2
0,0
5,7
-1,8
1,C
8,5
3,5
7,C
6,B
6,7
0,6
0,C
8,C
2,6
-1,4
3,B
0,5
9,2
3,3
4,7
6,5
1,3
4,2
6,B
1,6
-1,8
5,2
2,1
8,1
4,1
6,7
6,7
7,1
7,4
9,5
3,9
5,1
8,B
2,8
2,8
9,6
2,2
2,B
8,4
9,3
3,7
3,6
9,6
4,5
-1,5
-1,2
8,B
6,9
4,5
6,0
6,6
-1,4
7,C
0,2
8,6
5,6
8,B
4,C
4,1
0,7
9,8
3,C
-1,3
7,C
3,6
0,C
9,1
9,7
0,0
5,0
-1,5
3,9
6,B
5,C
0,4
6,7
3,0
0,9
8,B
7,8
-1,0
7,9
5,C
9,C
2,1
2,9
6,B
1,8
7,3
0,5
4,1
0,6
-1,3
2,B
-1,8
4,C
1,5
6,4
3,7
1,B
3,1
4,7
4,C
5,0
9,8
0,6
-1,3
6,5
1,B
6,6
-1,9
-1,9
0,7
0,B
9,4
9,9
8,C
2,3
6,7
4,C
1,7
-1,5
4,1
8,3
-1,9
1,4
1,9
1,1
7,0
8,9
6,B
6,1
8,7
8,1
7,1
9,5
1,6
9,C
4,B
-1,8
5,0
4,1
-1,1
2,7
5,9
5,4
2,3
2,1
0,B
8,6
6,C
1,3
5,B
6,8
7,3
4,8
-1,1
0,8
6,6
2,8
1,2
4,6
-1,3
-1,4
1,9
-1,8
3,3
-1,9
1,B
5,3
5,9
5,8
-1,4
-1,2
-1,4
4,B
3,5
9,8
-1,8
7,C
-1,8
8,B
-1,1
-1,6
-1,5
-1,5
6,4
0,2
2,1
0,8
-1,0
5,C
1,9
2,7
1,7
5,3
8,5
7,4
4,2
4,C
9,B
1,9
3,5
0,5
0,B
1,2
7,0
4,6
2,8
5,2
0,B
1,3
1,B
7,B
0,C
-1,8
7,9
8,0
-1,2
-1,3
8,4
8,1
7,B
7,0
7,0
1,6
9,C
5,C
0,7
8,C
6,4
6,2
1,7
3,0
1,B
-1,5
1,B
8,7
9,2
9,7
1,0
2,5
3,0
-1,9
9,B
9,2
5,B
2,B
9,7
1,4
3,B
-1,9
-1,7
7,2
-1,5
-1,6
0,2
