is_mobile,n_products_viewed,visit_duration,is_returning_visitor,time_of_day,user_action
1,0,0.657509946224,0,3,0
1,1,0.568571234214,0,2,1
1,0,0.0422459971599,1,1,0
1,1,1.65979338126,1,1,2
0,1,2.01474484927,1,1,2
1,1,0.512447387146,1,1,2
0,0,1.44032709834,1,1,0
1,0,0.0352602330941,0,3,0
0,1,1.49076409356,0,0,1
0,0,0.0058375210477,1,3,0
0,4,2.04604049045,1,0,3
0,0,0.955889466031,0,3,0
1,0,0.159377604285,0,0,0
1,2,0.769272092601,0,3,1
0,0,0.226271266328,1,3,0
1,3,0.988228602505,1,2,3
1,2,0.160582972988,0,0,1
1,3,0.115029585491,1,2,1
0,1,0.4837140437,1,1,1
0,0,0.182400583975,0,3,0
1,2,0.271692558182,1,1,2
0,0,0.296118171936,0,0,0
1,0,0.99624012353,0,3,0
0,2,1.94535711946,1,0,3
0,0,0.0293628762454,0,2,0
0,1,0.087355104829,1,3,1
0,0,1.90816589216,1,1,0
0,2,0.119630359477,0,3,0
1,3,0.100013380568,0,1,2
1,3,0.707463234814,0,0,2
1,0,0.0446573477607,1,3,0
0,1,0.888626139675,1,0,1
0,1,2.08264406906,1,1,2
1,3,2.09047184438,0,3,2
0,1,1.11606573149,1,2,1
1,0,0.013973844446,0,3,0
0,0,0.254083736218,0,2,0
1,1,0.879175145041,1,2,1
0,1,1.20889141451,0,1,1
0,0,0.0620071008748,1,2,0
1,2,1.66427128352,0,1,2
1,1,1.09204237354,0,2,1
0,0,0.188662055571,0,0,0
0,2,0.258902814124,0,0,1
1,4,0.216297522697,1,0,3
0,0,0.0681184763718,1,0,0
0,1,1.21636593109,0,2,1
1,0,0.0775308304018,1,1,0
0,0,2.76065732312,0,1,0
1,1,0.413759695175,0,2,1
1,4,1.16767023553,0,2,2
1,4,1.21181899648,1,1,3
0,2,0.918526053415,0,3,1
1,1,1.55500429158,1,2,2
1,1,0.449372854929,0,0,1
1,4,0.543215224286,0,3,1
0,0,2.22325722983,1,3,0
0,0,1.0456731678,0,1,0
1,1,0.289637013008,1,2,1
0,1,0.836483998225,1,1,1
1,0,0.199600972515,0,0,0
0,0,0.714921958117,1,3,0
0,1,1.23716869212,1,3,1
1,0,0.857807174533,0,3,0
0,0,1.90354096589,0,0,0
0,2,0.688584482204,0,3,1
1,2,1.28104825438,0,2,1
0,1,0.367871681892,0,1,1
1,3,0.122865448682,1,2,1
0,1,1.62025550749,0,3,1
0,0,3.04328580739,0,0,0
1,0,0.233978716918,1,3,0
1,0,1.21333358495,0,0,0
1,0,1.54909595092,1,1,0
0,0,0.660328691982,0,0,0
0,0,0.920480079821,0,1,0
0,2,0.384992423454,1,1,1
1,1,0.701483902744,1,0,2
0,1,0.0919779418567,0,1,0
1,4,0.0950432085927,0,0,2
0,0,1.81667018596,1,1,0
1,0,1.58289076853,0,0,0
0,2,0.00692645674968,0,2,0
1,0,0.126660432171,0,1,0
0,0,1.38848011794,0,3,0
1,0,0.96860838195,0,2,0
0,0,0.740300656052,1,2,0
0,0,3.02250012207,0,0,0
0,4,2.94701256878,0,2,2
1,3,2.08142421825,1,2,3
1,0,0.294638039391,0,0,0
1,1,1.52482907816,1,1,2
0,1,0.745520923833,1,3,1
1,1,0.0552049328741,1,2,1
0,3,3.4910721132,1,2,3
0,2,1.03754088488,1,0,1
0,0,0.593552494575,1,0,0
1,3,5.56256122988,1,3,3
0,0,0.305464552643,0,0,0
1,1,0.775653288351,0,1,2
0,0,0.355264771319,1,2,0
0,1,1.12545504852,1,0,2
1,0,0.13756545562,0,0,0
1,1,0.564504937291,0,2,1
0,0,0.0303770783195,0,3,0
0,2,0.367136333412,0,2,1
0,0,3.80630788303,1,2,0
0,0,0.984629287831,0,0,0
0,1,0.545506377879,0,0,1
1,0,0.173013921101,0,2,0
1,1,3.56036404296,0,2,2
1,1,3.97131276405,0,1,3
1,2,0.237900767969,0,3,1
1,0,0.0313873240747,1,1,0
0,0,1.62152920064,1,3,0
0,2,0.945719697266,0,1,1
1,0,0.286006439837,0,3,0
1,0,1.01703842683,0,2,0
0,1,0.854159829071,0,3,1
1,0,0.321202578271,0,2,0
0,1,3.60278265346,1,3,2
1,0,0.439169346476,1,1,0
0,1,1.62312018066,1,2,1
0,0,0.474687038688,0,1,0
0,1,0.5005287108,1,3,1
0,1,1.0235944692,1,3,1
1,3,0.614914363991,1,2,2
0,0,0.2365286761,0,0,0
1,0,1.37168264125,1,0,0
0,0,1.08857401212,0,2,0
0,0,0.270274738162,0,0,0
0,0,0.717776906237,0,3,0
0,1,0.570007359874,0,2,1
0,0,0.308415011671,0,3,0
1,1,1.46203372288,0,3,1
0,0,1.29023832011,0,2,0
1,0,4.91703440276,1,2,0
1,2,1.50940459225,0,0,2
1,2,2.79995757003,0,3,2
1,0,1.23896878694,0,0,0
1,0,1.21092839763,1,3,0
1,1,1.61710908079,0,3,2
1,0,1.17473693062,1,1,0
1,0,1.67300277704,0,2,0
1,0,0.355293742088,1,1,0
0,1,0.541635678604,0,2,1
0,4,1.5830821363,0,0,2
0,1,0.142353855167,1,3,1
1,1,2.03540315936,1,3,2
1,0,2.26624509821,1,3,0
0,1,1.25019747024,1,1,2
0,3,0.979504266243,0,0,2
0,0,0.4744891271,1,1,0
1,3,1.60704148701,0,1,2
1,1,3.08845262329,0,0,2
1,0,1.4561201391,0,1,0
0,0,2.01342284487,1,3,0
0,0,1.68965159189,1,1,0
1,3,1.55659885331,1,2,3
1,2,0.166900218201,0,0,1
1,1,0.647094603648,0,2,1
0,2,1.14638590659,0,0,1
0,0,1.35515010098,1,1,0
1,0,1.94028844636,1,1,0
1,1,0.316971331006,1,3,1
0,1,0.434068101782,1,2,1
1,0,1.75636173652,1,2,0
1,2,1.95142170482,0,3,2
1,0,1.17672983292,1,2,0
1,0,1.74082879538,1,0,0
1,0,1.34887231502,1,0,0
0,0,1.49764838804,1,3,0
0,0,1.423052843,1,0,0
1,1,1.45066255561,0,1,2
0,0,0.685293292778,0,0,0
1,1,0.336223831616,0,2,1
0,0,0.791034696798,0,2,0
1,2,0.125113775874,1,2,1
1,0,1.23484346477,0,2,0
