1,8,307,130,3504,12,70
1,8,350,165,3693,11.5,70
1,8,318,150,3436,11,70
1,8,304,150,3433,12,70
1,8,302,140,3449,10.5,70
1,8,429,198,4341,10,70
1,8,454,220,4354,9,70
1,8,440,215,4312,8.5,70
1,8,455,225,4425,10,70
1,8,390,190,3850,8.5,70
1,8,383,170,3563,10,70
1,8,340,160,3609,8,70
1,8,400,150,3761,9.5,70
1,8,455,225,3086,10,70
1,4,113,95,2372,15,70
1,6,198,95,2833,15.5,70
1,6,199,97,2774,15.5,70
1,6,200,85,2587,16,70
1,4,97,88,2130,14.5,70
1,4,97,46,1835,20.5,70
1,4,110,87,2672,17.5,70
1,4,107,90,2430,14.5,70
1,4,104,95,2375,17.5,70
1,4,121,113,2234,12.5,70
1,6,199,90,2648,15,70
1,8,360,215,4615,14,70
1,8,307,200,4376,15,70
1,8,318,210,4382,13.5,70
1,8,304,193,4732,18.5,70
1,4,97,88,2130,14.5,71
1,4,140,90,2264,15.5,71
1,4,113,95,2228,14,71
1,6,232,100,2634,13,71
1,6,225,105,3439,15.5,71
1,6,250,100,3329,15.5,71
1,6,250,88,3302,15.5,71
1,6,232,100,3288,15.5,71
1,8,350,165,4209,12,71
1,8,400,175,4464,11.5,71
1,8,351,153,4154,13.5,71
1,8,318,150,4096,13,71
1,8,383,180,4955,11.5,71
1,8,400,170,4746,12,71
1,8,400,175,5140,12,71
1,6,258,110,2962,13.5,71
1,4,140,72,2408,19,71
1,6,250,100,3282,15,71
1,6,250,88,3139,14.5,71
1,4,122,86,2220,14,71
1,4,116,90,2123,14,71
1,4,79,70,2074,19.5,71
1,4,88,76,2065,14.5,71
1,4,71,65,1773,19,71
1,4,72,69,1613,18,71
1,4,97,60,1834,19,71
1,4,91,70,1955,20.5,71
1,4,113,95,2278,15.5,72
1,4,97.5,80,2126,17,72
1,4,97,54,2254,23.5,72
1,4,140,90,2408,19.5,72
1,4,122,86,2226,16.5,72
1,8,350,165,4274,12,72
1,8,400,175,4385,12,72
1,8,318,150,4135,13.5,72
1,8,351,153,4129,13,72
1,8,304,150,3672,11.5,72
1,8,429,208,4633,11,72
1,8,350,155,4502,13.5,72
1,8,350,160,4456,13.5,72
1,8,400,190,4422,12.5,72
1,3,70,97,2330,13.5,72
1,8,304,150,3892,12.5,72
1,8,307,130,4098,14,72
1,8,302,140,4294,16,72
1,8,318,150,4077,14,72
1,4,121,112,2933,14.5,72
1,4,121,76,2511,18,72
1,4,120,87,2979,19.5,72
1,4,96,69,2189,18,72
1,4,122,86,2395,16,72
1,4,97,92,2288,17,72
1,4,120,97,2506,14.5,72
1,4,98,80,2164,15,72
1,4,97,88,2100,16.5,72
1,8,350,175,4100,13,73
1,8,304,150,3672,11.5,73
1,8,350,145,3988,13,73
1,8,302,137,4042,14.5,73
1,8,318,150,3777,12.5,73
1,8,429,198,4952,11.5,73
1,8,400,150,4464,12,73
1,8,351,158,4363,13,73
1,8,318,150,4237,14.5,73
1,8,440,215,4735,11,73
1,8,455,225,4951,11,73
1,8,360,175,3821,11,73
1,6,225,105,3121,16.5,73
1,6,250,100,3278,18,73
1,6,232,100,2945,16,73
1,6,250,88,3021,16.5,73
1,6,198,95,2904,16,73
1,4,97,46,1950,21,73
1,8,400,150,4997,14,73
1,8,400,167,4906,12.5,73
1,8,360,170,4654,13,73
1,8,350,180,4499,12.5,73
1,6,232,100,2789,15,73
1,4,97,88,2279,19,73
1,4,140,72,2401,19.5,73
1,4,108,94,2379,16.5,73
1,3,70,90,2124,13.5,73
1,4,122,85,2310,18.5,73
1,6,155,107,2472,14,73
1,4,98,90,2265,15.5,73
1,8,350,145,4082,13,73
1,8,400,230,4278,9.5,73
1,4,68,49,1867,19.5,73
1,4,116,75,2158,15.5,73
1,4,114,91,2582,14,73
1,4,121,112,2868,15.5,73
1,8,318,150,3399,11,73
1,4,121,110,2660,14,73
1,6,156,122,2807,13.5,73
1,8,350,180,3664,11,73
1,6,198,95,3102,16.5,74
1,6,232,100,2901,16,74
1,6,250,100,3336,17,74
1,4,79,67,1950,19,74
1,4,122,80,2451,16.5,74
1,4,71,65,1836,21,74
